ticker,headline,sentiment_score,sentiment_label
NVDA,NVIDIA shares rise after strong AI chip demand,2,Positive
NVDA,NVIDIA faces pressure from new export restrictions,-2,Negative
MSFT,Microsoft reports strong cloud revenue growth,2,Positive
MSFT,Microsoft stock falls after weak guidance,-3,Negative
DBS,DBS Bank benefits from resilient Singapore economy,2,Positive
DBS,DBS shares decline as interest rate uncertainty grows,-2,Negative
SPY,US stocks rally as inflation cools,2,Positive
SPY,US market drops amid recession fears,-3,Negative
QQQ,Tech stocks gain as investors return to growth shares,2,Positive
QQQ,Nasdaq weakens as valuation concerns rise,-2,Negative
